bast_number,order_number,bast_date,receiver_name,signed_by,status,remarks
MIG-BAST-146,MIG-AMNT-146,2025-12-05,AMNT,,COMPLETED,BAST Des 2024 (tanggal di Excel 2025-12-05)
MIG-BAST-150,MIG-AMNT-150,2025-01-03,AMNT,,COMPLETED,BAST Jan 2025
MIG-BAST-002,MIG-AMNT-002,2025-01-17,AMNT,,COMPLETED,BAST Jan 2025
MIG-BAST-021,MIG-AMNT-021,2025-02-20,AMNT,,COMPLETED,BAST Feb 2025
MIG-BAST-032,MIG-AMNT-032,2025-03-24,AMNT,,COMPLETED,BAST Mar 2025
MIG-BAST-042,MIG-AMNT-042,2025-04-08,AMNT,,COMPLETED,BAST Apr 2025
MIG-BAST-058,MIG-AMNT-058,2025-04-09,AMNT PINDAD,,COMPLETED,BAST PINDAD
MIG-BAST-060,MIG-AMNT-060,2025-04-21,AMNT,,COMPLETED,BAST Apr 2025
MIG-BAST-088,MIG-AMNT-088,2025-07-13,AMNT,,COMPLETED,BAST Jul 2025
