delivery_number,order_number,shipment_number,delivery_date,receiving_party,delivery_note,location,remarks,status
MIG-DLV-146,MIG-AMNT-146,MIG-SHP-146,2024-12-04,AMNT,,TMCT,,COMPLETED
MIG-DLV-150,MIG-AMNT-150,MIG-SHP-150,2025-01-02,AMNT,,TMCT,,COMPLETED
MIG-DLV-002,MIG-AMNT-002,MIG-SHP-002,2025-01-16,AMNT,,TMCT,,COMPLETED
MIG-DLV-021,MIG-AMNT-021,MIG-SHP-021,2025-02-19,AMNT,,TMCT,,COMPLETED
MIG-DLV-032,MIG-AMNT-032,MIG-SHP-032,2025-03-23,AMNT,,TMCT,,COMPLETED
MIG-DLV-042,MIG-AMNT-042,MIG-SHP-042,2025-04-07,AMNT,,TMCT,,COMPLETED
MIG-DLV-058,MIG-AMNT-058,MIG-SHP-058,2025-04-09,AMNT PINDAD,,TMCT,,COMPLETED
MIG-DLV-060,MIG-AMNT-060,MIG-SHP-060,2025-04-20,AMNT,,TMCT,,COMPLETED
MIG-DLV-088,MIG-AMNT-088,MIG-SHP-088,2025-07-12,AMNT,,TMCT,,COMPLETED
