order_number,po_number,po_date,customer_code,site_code,contract_code,business_model,order_type,project_code,project_name,currency,exchange_rate,selling_value,total_direct_cost,margin,status,po_status,current_stage,remarks
MIG-AMNT-146,3000480998,2024-11-08,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,146,Project 146 - AN + Service,IDR,1,23419997500,22748560000,671437500,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-150,3000521834,2024-11-29,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,150,Project 150 - AN + Service,IDR,1,30762272650,29944960000,817312650,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-002,3000631186,2024-12-26,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,002,Project 002 - AN + Service,IDR,1,30017039434,29109600000,907439434,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-021,3000820910,2025-01-28,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,021,Project 021 - AN + Service,IDR,1,25226044842,24178320000,1047724842,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-032,3000901050,2025-02-21,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,032,Project 032 - AN + Service,IDR,1,26150816007,25085600000,1065216007,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-042,3000963985,2025-03-11,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,042,Project 042 - AN + Service,IDR,1,23435860000,22948000000,487860000,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-058,3001004290,2025-03-27,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,058,Project 058 - AN + Service,IDR,1,23162720000,22682000000,480720000,CLOSED,CLOSED,CLOSED,Migrasi AMNT BAST PINDAD
MIG-AMNT-060,3000999616,2025-03-25,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,060,Project 060 - AN + Service,IDR,1,22296896709,21290800000,1006096709,CLOSED,CLOSED,CLOSED,Migrasi AMNT
MIG-AMNT-088,3001272588,2025-06-26,AMNT,AMNT-TMCT,CTR-AMNT-2024,Integrated Supply + Service,MATERIAL,088,Project 088 - AN + RG + Service,IDR,1,30109365905,27789160000,2320205905,CLOSED,CLOSED,CLOSED,Migrasi AMNT
